id,filename,public_path,backup_path,size_mb,dimensions,sha256_public,sha256_backup,hash_match,static_references,dynamic_references,status
"L27-001","seguranca-e-automacao-01.png","/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-e-automacao-01.png","/ARQUIVO/app-seguranca-01.png","9.092","2048x2048","7fdedc7afd64a12d50d822ec5951a7c4f81d5a508c194a761cf9178c94784959","7fdedc7afd64a12d50d822ec5951a7c4f81d5a508c194a761cf9178c94784959","true","0","0","APROVADO"
"L27-002","seguranca-automacao.png","/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-automacao.png","/ARQUIVO/solucoes-integradas/seguranca-e-automacao/Segurança Automaçao.png","1.938","1536x1024","6afafe3b3cb8b106f7bbc886af6c8944da44372ee2339637917b2fa7646f5cfe","6afafe3b3cb8b106f7bbc886af6c8944da44372ee2339637917b2fa7646f5cfe","true","0","0","APROVADO"
"L27-003","automacao-e-seguranca-03.png","/public/images/solucoes-integradas/seguranca-e-automacao/automacao-e-seguranca-03.png","/ARQUIVO/app-seguranca-03.png","2.556","1536x1024","24c585ab3f352f648bbd3e1781d2c68b84538e1ff4b5e86344bef9b58ae08de0","24c585ab3f352f648bbd3e1781d2c68b84538e1ff4b5e86344bef9b58ae08de0","true","0","0","APROVADO"
"L27-004","planta-ind-04.png","/public/images/solucoes-integradas/plantas-industriais/planta-ind-04.png","/ARQUIVO/app-planta-04.png","2.177","1536x1024","850a222262ef068b028a01be233d3c23925f2a2c77dee3e1e6eacf3d0cc1ccad","850a222262ef068b028a01be233d3c23925f2a2c77dee3e1e6eacf3d0cc1ccad","true","0","0","APROVADO"
"L27-005","planta-ind-03.png","/public/images/solucoes-integradas/plantas-industriais/planta-ind-03.png","/ARQUIVO/app-planta-03.png","2.295","1536x1024","7bb43c661b6d87f1d9c082f8a7a67f856c5ae53802c6571994894f14cd7ba37f","7bb43c661b6d87f1d9c082f8a7a67f856c5ae53802c6571994894f14cd7ba37f","true","0","0","APROVADO"
"L27-006","planta-ind-02.png","/public/images/solucoes-integradas/plantas-industriais/planta-ind-02.png","/ARQUIVO/app-plantas-industriais-2.png","9.174","2816x1536","59976993041c00e89511c6f22587f5e678d040655730cfbc48c4ecd61e5fb60f","59976993041c00e89511c6f22587f5e678d040655730cfbc48c4ecd61e5fb60f","true","0","0","APROVADO"
"L27-007","planta-ind-01-.png","/public/images/solucoes-integradas/plantas-industriais/planta-ind-01-.png","/ARQUIVO/app-planta-01.png","2.631","1536x1024","041ce5fc1a15f708cde8dce5012769c4a1abb2eb263d2e16680c049eda5a25d3","041ce5fc1a15f708cde8dce5012769c4a1abb2eb263d2e16680c049eda5a25d3","true","0","0","APROVADO"
"L27-008","linha-producao-04.png","/public/images/solucoes-integradas/linhas-de-producao/linha-producao-04.png","/ARQUIVO/app-linhas-04.png","7.974","1536x2752","aeedba0089c44b4e72569d9bbbd31701f566e7f7374a37b70d071ee61b9010ef","aeedba0089c44b4e72569d9bbbd31701f566e7f7374a37b70d071ee61b9010ef","true","0","0","APROVADO"
"L27-009","linha-producao-03.png","/public/images/solucoes-integradas/linhas-de-producao/linha-producao-03.png","/ARQUIVO/solucoes-integradas/linhas-de-producao/Linha producao 03.png","2.445","1536x1024","d0e5bb47391aeb76d084cb5141a67d86ba4849b776028c1b2b06d01d4ad6cff6","d0e5bb47391aeb76d084cb5141a67d86ba4849b776028c1b2b06d01d4ad6cff6","true","0","0","APROVADO"
"L27-010","linha-producao-02.png","/public/images/solucoes-integradas/linhas-de-producao/linha-producao-02.png","/ARQUIVO/app-linhas-producao-2.png","2.321","1536x1024","21ba597b4245a518f01b85ca8e6082687d566faf60a728e6b11559419e49566d","21ba597b4245a518f01b85ca8e6082687d566faf60a728e6b11559419e49566d","true","0","0","APROVADO"
"L27-011","linha-producao-01.png","/public/images/solucoes-integradas/linhas-de-producao/linha-producao-01.png","/ARQUIVO/app-linhas-producao.png","8.682","2816x1536","ef864acb092872519e2de82dd0b998b737d63631837e274fe7fbaf9f35758eca","ef864acb092872519e2de82dd0b998b737d63631837e274fe7fbaf9f35758eca","true","0","0","APROVADO"
"L27-012","laboratorio-analit-06.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-06.png","/ARQUIVO/app-lab-06.png","2.218","1536x1024","5bbe007829fa32b65ea265adcbf00b9939f27f29dcf0ed49bc8ae558d48a3421","5bbe007829fa32b65ea265adcbf00b9939f27f29dcf0ed49bc8ae558d48a3421","true","0","0","APROVADO"
"L27-013","laboratorio-analit-005.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-005.png","/ARQUIVO/app-lab-05.png","2.496","1536x1024","c9bfeaaa5ed72c7b48e42e7f8c98ede0a464c64dd99ce244e1e2a58a213c152e","c9bfeaaa5ed72c7b48e42e7f8c98ede0a464c64dd99ce244e1e2a58a213c152e","true","0","0","APROVADO"
"L27-014","laboratorio-analit-004.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-004.png","/ARQUIVO/app-lab-04.png","2.143","1536x1024","7d972c14d5b841f4941656431b2780c1e8ae2ee5577b5e2ebd50e40869b6024f","7d972c14d5b841f4941656431b2780c1e8ae2ee5577b5e2ebd50e40869b6024f","true","0","0","APROVADO"
"L27-015","laboratorio-analit-003.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-003.png","/ARQUIVO/app-laboratorio-3.png","8.837","1536x2752","1c9ac4b396decdf0615dea35347c3725437df39149cdd66497a40864d7078751","1c9ac4b396decdf0615dea35347c3725437df39149cdd66497a40864d7078751","true","0","0","APROVADO"
"L27-016","laboratorio-analit-002.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-002.png","/ARQUIVO/solucoes-integradas/laboratorio-analitico/Laboratorio analit 002.png","2.228","1536x1024","c8252a0a1024bc9b1917c3b9235cfe417379c60c9eef0521d1e440616de6e421","c8252a0a1024bc9b1917c3b9235cfe417379c60c9eef0521d1e440616de6e421","true","0","0","APROVADO"
"L27-017","laboratorio-analit-001.png","/public/images/solucoes-integradas/laboratorio-analitico/laboratorio-analit-001.png","/ARQUIVO/solucoes-integradas/laboratorio-analitico/Laboratorio analit 001.png","2.378","1536x1024","a76057d14ecfca5eda401edb5b8e56434b8295ff5f84524d85ddb23fc57c6c84","a76057d14ecfca5eda401edb5b8e56434b8295ff5f84524d85ddb23fc57c6c84","true","0","0","APROVADO"
"L27-018","instrumentacao-medicao-05.png","/public/images/solucoes-integradas/instrumentacao-medicao/instrumentacao-medicao-05.png","/ARQUIVO/sol-medicao-05.png","2.416","1408x768","82968ee7e45fa2db370b07351ba2e1bef058106e0f03854157e2940b4a62351a","82968ee7e45fa2db370b07351ba2e1bef058106e0f03854157e2940b4a62351a","true","0","0","APROVADO"
"L27-019","instrumentacao-medicao-04.png","/public/images/solucoes-integradas/instrumentacao-medicao/instrumentacao-medicao-04.png","/ARQUIVO/sol-medicao-04.png","2.331","1408x768","0a472af9426ff4ffe8a36feca59505ea9a8ebad37162fd20804e5411b2d1ce36","0a472af9426ff4ffe8a36feca59505ea9a8ebad37162fd20804e5411b2d1ce36","true","0","0","APROVADO"
