caminho_atual,nome,tamanho_kb,classificacao_atual,nivel,sha256,possui_backup,caminho_exato_backup,sha256_backup,referencias_codigo,referencia_css,referencia_json,referencia_seo,referencia_dinamica,pagina_relacionada,grupo,decisao_proposta
"/public/images/solucoes-integradas/prod-reguladores.png","prod-reguladores.png","6764.56","Candidato Arquivamento","4","2491a5211ef1dc2a6f14246bb67c84de6ca60312a89beeb21d95c393d0be6061","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","D","REVISAO_HUMANA_OBRIGATORIA"
"/public/images/solucoes-integradas/prod-geracao-oxigenio.png","prod-geracao-oxigenio.png","1977.44","Candidato Arquivamento","4","cb216a00f593de9a8ad80af2c62b0781f77f06eb784794730bbeba750f330ec4","SIM","/ARQUIVO/prod-geracao-3.png","cb216a00f593de9a8ad80af2c62b0781f77f06eb784794730bbeba750f330ec4","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/solucoes-integradas/prod-dewars-criogenicos.png","prod-dewars-criogenicos.png","1480.01","Candidato Arquivamento","4","ec2d387e2bf193cec469bc2a9ee0853e2207a4754fb2417524a5d4b2ad43eee4","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","D","REVISAO_HUMANA_OBRIGATORIA"
"/public/images/solucoes-integradas/prod-corte-solda.png","prod-corte-solda.png","2389.99","Candidato Arquivamento","4","7e0364d808d9e5b68366a8d42d9992fc0722c6770a318b4df7e535e1d1b6400d","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","D","REVISAO_HUMANA_OBRIGATORIA"
"/public/images/solucoes-integradas/prod-cilindros-tipo4.png","prod-cilindros-tipo4.png","8013.81","Candidato Arquivamento","4","53d91199d4542402dc0889500b568491b842f04895bfd334f385d887dc8021f3","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","D","REVISAO_HUMANA_OBRIGATORIA"
"/public/images/produtos/regulador-gases-08.png","regulador-gases-08.png","627.45","Candidato Arquivamento","4","aec8ca8f4fab6a0aea469f8203991b339b23064d2c5ac6938727a67588bace30","SIM","/ARQUIVO/produtos/reguladores-especiais/uhp-placeholder.png","aec8ca8f4fab6a0aea469f8203991b339b23064d2c5ac6938727a67588bace30","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/produtos/regulador-gases-06.jpg","regulador-gases-06.jpg","122.11","Candidato Arquivamento","4","0a8a48838b5fb748128973325e83411ce4516f235334a95d6f23d8c929c92241","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/produtos/regulador-gases-05.jpg","regulador-gases-05.jpg","128.67","Candidato Arquivamento","4","39c48fd491ce074910c2522e5b6964de8a0573b021543ffb8fd947c3fb03f469","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/produtos/regulador-gases-04.jpg","regulador-gases-04.jpg","89.50","Candidato Arquivamento","4","3852bc8afba3f6ce26275545bab7f77ac8da01b44af8f7f988de94955026cfb2","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/produtos/produtos-bg-nostar.png","produtos-bg-nostar.png","551.73","Candidato Arquivamento","4","377d498a2512fd9ac8955650cf69f270f2a2ecfb0246a9f2a037acc437daf72b","SIM","/ARQUIVO/produtos/produtos-bg-nostar.png","377d498a2512fd9ac8955650cf69f270f2a2ecfb0246a9f2a037acc437daf72b","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/produtos/prod-reguladores-especiais-new.jpg","prod-reguladores-especiais-new.jpg","114.01","Candidato Arquivamento","4","3fbcf50f8adb9396b3b3dcf769cc137a209cfb1ad2c29cea6d51d62766293f9f","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/home/home-about-ihm-new-2.jpg","home-about-ihm-new-2.jpg","383.37","Candidato Arquivamento","4","97e57a02f8015c5895d558334ce78a0898afc885c3b171380b0821bf0bce635c","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/conteudos/diagrama-conversao-diesel.png","diagrama-conversao-diesel.png","2030.04","Candidato Arquivamento","4","9755ce34592da129be93ac7436988b1873eb93e36b46423fca1e5d795db57e30","NAO","","","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","C","ARQUIVAR"
"/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-em-aumotacao-04.png","seguranca-em-aumotacao-04.png","2288.68","Candidato Arquivamento","4","08f4aa8956392d5229dadc6b0d8af7c68c95a2520100b1222ba15e9d3c79ffcd","SIM","/ARQUIVO/app-seguranca-04.png","08f4aa8956392d5229dadc6b0d8af7c68c95a2520100b1222ba15e9d3c79ffcd","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-e-automacao-04.png","seguranca-e-automacao-04.png","2312.30","Candidato Arquivamento","4","b90a65296624c7bc0a0c4f5f0cf6f78902950a515fbbc8cd4f12602d43a97d52","SIM","/ARQUIVO/app-seguranca-2.png","b90a65296624c7bc0a0c4f5f0cf6f78902950a515fbbc8cd4f12602d43a97d52","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-e-automacao-01.png","seguranca-e-automacao-01.png","9310.67","Candidato Arquivamento","4","7fdedc7afd64a12d50d822ec5951a7c4f81d5a508c194a761cf9178c94784959","SIM","/ARQUIVO/app-seguranca-01.png","7fdedc7afd64a12d50d822ec5951a7c4f81d5a508c194a761cf9178c94784959","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
"/public/images/solucoes-integradas/seguranca-e-automacao/seguranca-automacao.png","seguranca-automacao.png","1984.27","Candidato Arquivamento","4","6afafe3b3cb8b106f7bbc886af6c8944da44372ee2339637917b2fa7646f5cfe","SIM","/ARQUIVO/solucoes-integradas/seguranca-e-automacao/Segurança Automaçao.png","6afafe3b3cb8b106f7bbc886af6c8944da44372ee2339637917b2fa7646f5cfe","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","NENHUMA","A","EXCLUIR_PUBLIC_BACKUP_CONFIRMADO"
