arquivo,caminho,tamanho,dimensao,arquivo_codigo,motivo_provavel,status_final
"regulador-gases-10-cropped.png","/public/images/produtos/regulador-gases-10-cropped.png","476.91","1024x1024","src/pages/products/ProductDetail.tsx","B — Conteúdo oculto (Accordion/Tab/Modal) ou Lazy Load não acionado","MANTER"
"prod-reguladores-2.png","/public/images/produtos/prod-reguladores-2.png","2226.39","1536x1024","src/pages/products/ProductDetail.tsx","B — Conteúdo oculto (Accordion/Tab/Modal) ou Lazy Load não acionado","MANTER"
"sol-medicao-02.png","/public/images/solucoes-integradas/instrumentacao-medicao/sol-medicao-02.png","2535.81","1536x1024","src/components/ArticleManager.tsx","B — Conteúdo oculto (Accordion/Tab/Modal) ou Lazy Load não acionado","MANTER"
"prod-detectores-vazamento.png","/public/images/solucoes-integradas/instrumentacao-analitica/prod-detectores-vazamento.png","2785.93","1024x1536","src/pages/products/ProductDetail.tsx","B — Conteúdo oculto (Accordion/Tab/Modal) ou Lazy Load não acionado","MANTER"
"twh03.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/twh03.png","124.11","394x635","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"twh-03.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/twh-03.png","93.20","273x458","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn12oo.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn12oo.png","116.66","269x458","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn12o.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn12o.png","130.69","281x458","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn12c.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn12c.png","268.15","546x458","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn12455.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn12455.png","96.27","402x645","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn1245.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn1245.png","90.33","359x645","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"swn-22-v.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/swn-22-v.png","120.61","543x461","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
"sswn-22-v-s3.png","/public/images/produtos/valvulas-industriais-medicinais-e-especiais-tekno-valves/sswn-22-v-s3.png","188.84","733x616","src/data/catalogs/products/teknoValvesCatalog.ts","E — Imagem de catálogo não chamada/renderizada dinamicamente nesta etapa","MANTER"
